Temperatura média:    26.32022727272717
Umidade média:        63.32727272727273
mq3 média:            252.3840909090909
mq4 média:            427.00454545454545
mq7 média:            120.42727272727272
mq8 média:            188.8409090909091
mq135 média:          864.209090909091

24.20,78.00,303,518,125,214,889
26.50,61.00,250,420,120,186,860,Sat Dec 28 19:14:06 2024
26.50,61.00,250,422,120,186,860,Sat Dec 28 19:14:16 2024
26.50,61.00,250,422,119,186,861,Sat Dec 28 19:14:26 2024
26.50,61.00,251,423,119,186,861,Sat Dec 28 19:14:36 2024
26.50,61.00,251,425,120,186,860,Sat Dec 28 19:14:46 2024
26.50,61.00,250,424,119,187,860,Sat Dec 28 19:14:56 2024
26.50,61.00,250,423,119,187,861,Sat Dec 28 19:15:06 2024
26.50,61.00,248,422,119,188,860,Sat Dec 28 19:15:16 2024
26.50,62.00,249,422,119,187,861,Sat Dec 28 19:15:26 2024
26.50,62.00,248,422,119,188,861,Sat Dec 28 19:15:36 2024
26.50,62.00,249,420,119,188,861,Sat Dec 28 19:15:46 2024
26.50,62.00,249,420,119,189,861,Sat Dec 28 19:15:56 2024
26.60,62.00,248,419,119,188,863,Sat Dec 28 19:16:06 2024
26.60,62.00,248,419,119,188,861,Sat Dec 28 19:16:17 2024
26.60,62.00,248,418,120,188,860,Sat Dec 28 19:16:27 2024
26.60,62.00,248,419,119,189,862,Sat Dec 28 19:16:37 2024
26.60,62.00,249,419,120,189,863,Sat Dec 28 19:16:47 2024
26.60,62.00,249,418,120,189,863,Sat Dec 28 19:16:57 2024
26.60,62.00,249,418,119,189,862,Sat Dec 28 19:17:07 2024
26.60,62.00,249,418,119,188,863,Sat Dec 28 19:17:17 2024
26.60,62.00,249,418,119,187,861,Sat Dec 28 19:17:27 2024
26.60,62.00,248,419,120,187,862,Sat Dec 28 19:17:37 2024
26.60,62.00,249,418,119,187,863,Sat Dec 28 19:17:47 2024
26.60,62.00,249,420,120,186,862,Sat Dec 28 19:17:57 2024
26.60,61.00,248,418,120,185,862,Sat Dec 28 19:18:07 2024
26.60,61.00,249,418,119,185,863,Sat Dec 28 19:18:17 2024
26.50,61.00,250,419,120,185,862,Sat Dec 28 19:18:27 2024
26.50,61.00,250,422,120,184,862,Sat Dec 28 19:18:37 2024
26.50,61.00,250,422,119,186,862,Sat Dec 28 19:18:47 2024
26.50,61.00,250,424,119,185,862,Sat Dec 28 19:18:57 2024
26.50,61.00,250,423,120,185,862,Sat Dec 28 19:19:07 2024
26.50,61.00,250,424,119,185,862,Sat Dec 28 19:19:17 2024
26.50,61.00,250,424,120,186,862,Sat Dec 28 19:19:27 2024
26.50,61.00,250,425,119,187,862,Sat Dec 28 19:19:37 2024
26.50,61.00,250,426,119,188,861,Sat Dec 28 19:19:47 2024
26.50,61.00,249,425,120,187,861,Sat Dec 28 19:19:57 2024
26.50,62.00,249,423,119,187,861,Sat Dec 28 19:20:07 2024
26.50,62.00,249,424,119,187,861,Sat Dec 28 19:20:17 2024
26.50,62.00,249,424,119,188,862,Sat Dec 28 19:20:27 2024
26.50,62.00,248,422,119,189,860,Sat Dec 28 19:20:37 2024
26.50,62.00,248,421,120,188,860,Sat Dec 28 19:20:48 2024
26.50,62.00,248,421,119,189,861,Sat Dec 28 19:20:58 2024
26.50,62.00,248,420,119,189,861,Sat Dec 28 19:21:08 2024
26.50,62.00,247,418,119,188,861,Sat Dec 28 19:21:18 2024
26.50,62.00,249,419,120,189,862,Sat Dec 28 19:21:28 2024
26.50,62.00,249,419,120,190,865,Sat Dec 28 19:21:38 2024
26.50,62.00,249,418,120,189,864,Sat Dec 28 19:21:48 2024
26.50,62.00,249,418,120,189,864,Sat Dec 28 19:21:58 2024
26.50,62.00,249,418,120,189,863,Sat Dec 28 19:22:08 2024
26.50,62.00,250,418,119,188,863,Sat Dec 28 19:22:18 2024
26.50,62.00,250,420,120,189,864,Sat Dec 28 19:22:28 2024
26.50,61.00,250,419,120,189,864,Sat Dec 28 19:22:38 2024
26.50,62.00,249,419,120,190,865,Sat Dec 28 19:22:48 2024
26.50,62.00,249,418,120,190,864,Sat Dec 28 19:22:58 2024
26.50,62.00,250,417,120,189,864,Sat Dec 28 19:23:08 2024
26.50,61.00,248,416,121,188,864,Sat Dec 28 19:23:18 2024
26.50,61.00,249,416,120,188,864,Sat Dec 28 19:23:28 2024
26.50,61.00,249,416,120,188,863,Sat Dec 28 19:23:38 2024
26.50,61.00,249,418,120,187,863,Sat Dec 28 19:23:48 2024
26.50,61.00,249,418,121,187,864,Sat Dec 28 19:23:58 2024
26.50,61.00,249,419,120,188,865,Sat Dec 28 19:24:08 2024
26.50,61.00,249,419,120,187,864,Sat Dec 28 19:24:18 2024
26.50,61.00,249,419,120,186,864,Sat Dec 28 19:24:28 2024
26.50,61.00,249,419,120,185,864,Sat Dec 28 19:24:38 2024
26.50,61.00,249,418,120,187,863,Sat Dec 28 19:24:48 2024
26.50,61.00,248,418,121,187,863,Sat Dec 28 19:24:58 2024
26.50,61.00,249,418,121,186,863,Sat Dec 28 19:25:09 2024
26.50,61.00,249,419,121,186,862,Sat Dec 28 19:25:19 2024
26.50,61.00,249,420,120,186,863,Sat Dec 28 19:25:29 2024
26.50,61.00,250,422,120,187,863,Sat Dec 28 19:25:39 2024
26.50,61.00,249,422,120,186,863,Sat Dec 28 19:25:49 2024
26.50,61.00,250,423,120,186,864,Sat Dec 28 19:25:59 2024
26.50,61.00,250,424,120,185,863,Sat Dec 28 19:26:09 2024
26.50,62.00,250,424,120,187,863,Sat Dec 28 19:26:19 2024
26.50,62.00,248,423,121,187,862,Sat Dec 28 19:26:29 2024
26.50,62.00,248,421,120,187,862,Sat Dec 28 19:26:39 2024
26.50,62.00,248,421,120,187,863,Sat Dec 28 19:26:49 2024
26.50,62.00,248,420,120,188,863,Sat Dec 28 19:26:59 2024
26.50,62.00,247,419,121,188,863,Sat Dec 28 19:27:09 2024
26.50,62.00,247,419,120,187,864,Sat Dec 28 19:27:19 2024
26.50,62.00,247,418,120,187,863,Sat Dec 28 19:27:29 2024
26.50,62.00,247,420,120,187,864,Sat Dec 28 19:27:39 2024
26.50,62.00,247,421,120,187,864,Sat Dec 28 19:27:49 2024
26.50,62.00,247,422,120,187,863,Sat Dec 28 19:27:59 2024
26.50,62.00,248,424,120,187,863,Sat Dec 28 19:28:09 2024
